Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1734	SM0LQB	54	54	JO89WF		144	0	0		Dupe 17:32	
YL2AJ	KO16OX	1735	YL2GD	599	599	KO37ML	CW	50	238	238	KO37		
YL2AJ	KO16OX	1736	LY4AA	599	599	KO14WW	CW	432	231	231	KO14	ScoredNoLog	
YL2AJ	KO16OX	1739	YL2FZ	54	54	KO37QI		144	255	255			
YL2AJ	KO16OX	1740	LY2HS	599	599	KO25UO	CW	432	218	218	KO25	ScoredNoLog	
YL2AJ	KO16OX	1742	LY2NA	599	599	KO15JC	CW	432	211	211		ScoredNoLog	
YL2AJ	KO16OX	1743	YL2GD	599	599	KO37ML	CW	1296	238	238	KO37		
YL2AJ	KO16OX	1744	YL2FZ	559	559	KO37QI	CW	1296	255	255			
YL2AJ	KO16OX	1745	SM7MBH	54	53	JO75EM		144	569	569	JO75	ScoredNoLog	
YL2AJ	KO16OX	1746	SM6BFE	559	559	JO68DQ	CW	432	673	673	JO68	ScoredNoLog	
YL2AJ	KO16OX	1748	ES2AFF	59	59	KO29EE	SSB	1296	255	255	KO29	ScoredNoLog	
YL2AJ	KO16OX	1748	SM7KOJ	55	54	JO66ND		144	625	625	JO66	ScoredNoLog	
YL2AJ	KO16OX	1749	YL3ANT	599	599	KO36PM	CW	432	255	255			
YL2AJ	KO16OX	1750	OH4LA	59A	59A	KP20LG	CW	50	380	380	KP20	ScoredNoLog	
YL2AJ	KO16OX	1753	SM7PYJ	53	55	JO76TE		144	473	473	JO76	ScoredNoLog	
YL2AJ	KO16OX	1754	ES2DF	559	579	KO29GG	CW	1296	267	267		ScoredNoLog	
YL2AJ	KO16OX	1754	SM6VTZ	559	559	JO58UJ	CW	432	701	701	JO58	ScoredNoLog	
YL2AJ	KO16OX	1757	DG1BHA	53	54	JO73CE		144	711	711	JO73	ScoredNoLog	
YL2AJ	KO16OX	1800	LY3JE	59	59	KO26TC	SSB	144	178	178	KO26		
YL2AJ	KO16OX	1802	SM0FZH	559	559	JO99HI	CW	432	377	377	JO99	ScoredNoLog	
YL2AJ	KO16OX	1802	YL2GD	599	599	KO37ML	CW	144	238	238			
YL2AJ	KO16OX	1803	LY2VO	599	599	KO15PX	CW	432	112	112			
YL2AJ	KO16OX	1804	SM4GGC	559	559	JO69RK	CW	144	633	633	JO69	ScoredNoLog	
YL2AJ	KO16OX	1805	ES2PRM	59	59	KO29GG	SSB	432	267	267	KO29	ScoredNoLog	
YL2AJ	KO16OX	1805	ES8AY	59	59	KO28GJ	SSB	432	177	177	KO28	ScoredNoLog	
YL2AJ	KO16OX	1807	SK0CT	559	559	JO99BM	CW	432	411	411		ScoredNoLog	
YL2AJ	KO16OX	1808	LY2BBF	599	599	KO24PR	CW	144	282	282	KO24		
YL2AJ	KO16OX	1810	SM4HCM	59A	57A	JP70RL	CW	50	593	593	JP70	ScoredNoLog	
YL2AJ	KO16OX	1810	YL3EK	56	57	KO27FF		1296	81	81	KO27		
YL2AJ	KO16OX	1811	LY3I	599	599	KO25ER	CW	144	157	157	KO25	ScoredNoLog	
YL2AJ	KO16OX	1812	LY4AA	599	599	KO14WW	CW	144	231	231	KO14	ScoredNoLog	
YL2AJ	KO16OX	1814	ES2MC	599	599	KO29GG	CW	432	267	267		ScoredNoLog	
YL2AJ	KO16OX	1814	ES4RM	559	559	KO49AL	CW	432	397	397	KO49	ScoredNoLog	
YL2AJ	KO16OX	1814	LY2BDA	579	579	KO24MQ	CW	144	280	280		ScoredNoLog	
YL2AJ	KO16OX	1816	LY2CH	599	599	KO15OV	CW	144	121	121	KO15	ScoredNoLog	
